Premise,Implied,Support,Pset,Cset
Status of Findings / Verification; Timeline / Engagement Details; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Documentation Quality', 'Timeline / Engagement Details', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Privileged Roles & Centralisation Risks; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5,"frozenset({'Privileged Roles & Centralisation Risks', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Scope; Detailed Findings; Timeline / Engagement Details,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Detailed Findings', 'Timeline / Engagement Details', 'Scope'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Timeline / Engagement Details; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Timeline / Engagement Details', 'Methodology / Procedure'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5,"frozenset({'Privileged Roles & Centralisation Risks', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Timeline / Engagement Details; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,5,"frozenset({'Timeline / Engagement Details', 'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Timeline / Engagement Details; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Documentation Quality', 'Timeline / Engagement Details', 'Recommendations / Remediation Guidance'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Privileged Roles & Centralisation Risks; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Documentation Quality', 'Privileged Roles & Centralisation Risks', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,5,"frozenset({'Privileged Roles & Centralisation Risks', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})"
Privileged Roles & Centralisation Risks; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5,"frozenset({'Documentation Quality', 'Privileged Roles & Centralisation Risks', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Timeline / Engagement Details; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Timeline / Engagement Details', 'Recommendations / Remediation Guidance'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Status of Findings / Verification; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Timeline / Engagement Details', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Executive Summary; Tools & Automation; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5,"frozenset({'Tools & Automation', 'Timeline / Engagement Details', 'Executive Summary'})","frozenset({'Recommendations / Remediation Guidance', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Privileged Roles & Centralisation Risks', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Detailed Findings; Timeline / Engagement Details,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Detailed Findings', 'Timeline / Engagement Details'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Recommendations / Remediation Guidance; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Timeline / Engagement Details', 'Recommendations / Remediation Guidance', 'Scope'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Timeline / Engagement Details', 'Recommendations / Remediation Guidance'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Status of Findings / Verification; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Timeline / Engagement Details', 'Scope', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})"
Scope; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Testing / Coverage Quality; Tools & Automation,5,"frozenset({'Privileged Roles & Centralisation Risks', 'Scope', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})"
Methodology / Procedure; Tools & Automation; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality,4,"frozenset({'Upgradeability / Governance Controls', 'Tools & Automation', 'Methodology / Procedure'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Testing / Coverage Quality; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Status of Findings / Verification; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope'})"
Methodology / Procedure; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Tools & Automation; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification,4,"frozenset({'Upgradeability / Governance Controls', 'Tools & Automation', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality,4,"frozenset({'Upgradeability / Governance Controls', 'Tools & Automation', 'Status of Findings / Verification'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Tools & Automation; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Tools & Automation'})","frozenset({'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Testing / Coverage Quality; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Status of Findings / Verification; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality'})"
Methodology / Procedure; Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Detailed Findings; Status of Findings / Verification; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Tools & Automation; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Tools & Automation'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Tools & Automation; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4,"frozenset({'Upgradeability / Governance Controls', 'Tools & Automation', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Status of Findings / Verification; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Detailed Findings; Testing / Coverage Quality; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Detailed Findings; Documentation Quality; Upgradeability / Governance Controls,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Detailed Findings'})","frozenset({'Tools & Automation', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Detailed Findings; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Documentation Quality; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})"
Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Executive Summary; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Executive Summary'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Scope; Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Scope', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})"
Executive Summary; Methodology / Procedure; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Methodology / Procedure', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Limitations / Disclaimers / Non-Goals', 'Scope'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings', 'Scope'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Documentation Quality', 'Upgradeability / Governance Controls', 'Scope'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Tools & Automation; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4,"frozenset({'Upgradeability / Governance Controls', 'Tools & Automation', 'Executive Summary'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Scope; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Scope', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4,"frozenset({'Upgradeability / Governance Controls', 'Detailed Findings'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
